category,is_known,true_label,prediction,max_softmax,entropy,energy,min_distance,odin,mahalanobis
Sterna_hirundo,1,66,66,0.99976605,-0.0030165468,415.5443,-4.035504,0.013336685,0.0
Pycnonotus_aurigaster,0,-1,22,0.14579293,-3.2762756,420.51944,-8.953265,0.013204926,0.0
Tringa_nebularia,1,70,70,0.97782326,-0.17407516,419.96027,-3.8068786,0.013280647,0.0
Pitta_sordida,0,-1,36,0.1362671,-3.236614,420.67877,-8.876884,0.013203798,0.0
Otus_sunia,0,-1,47,0.2656234,-2.9858935,420.28876,-8.470347,0.013214251,0.0
Phylloscopus_borealis,1,56,56,0.84894276,-0.9250153,419.37708,-6.790669,0.013248605,0.0
Calidris_ferruginea,1,15,15,0.93595105,-0.3872034,417.5809,-6.0899305,0.013282277,0.0
Aegithina_tiphia,1,4,57,0.1019509,-3.6591482,421.90427,-8.376008,0.0131940935,0.0
Numenius_arquata,1,48,48,0.17974113,-3.2320642,420.7285,-8.403744,0.013209375,0.0
Sterna_hirundo,1,66,66,0.6749233,-1.8324945,420.13678,-7.1528125,0.0132337855,0.0
Pernis_ptilorhynchus,0,-1,65,0.40196225,-2.4234285,420.42236,-7.41524,0.013226526,0.0
Strix_leptogrammica,0,-1,53,0.10985989,-3.7701032,422.58667,-7.7011685,0.013194037,0.0
Pluvialis_squatarola,1,57,57,0.88035434,-0.572402,418.48126,-5.948283,0.013272051,0.0
Numenius_arquata,1,48,48,0.74507976,-1.2373765,420.41675,-5.6398644,0.013250204,0.0
Orthotomus_ruficeps,0,-1,51,0.99148506,-0.077916436,418.73932,-4.4297767,0.013288508,0.0
Pachycephala_cinerea,0,-1,24,0.1434727,-3.5385292,420.20236,-9.536939,0.013201321,0.0
Motacilla_tschutschensis,1,46,46,0.98696613,-0.10918514,419.64008,-3.9513526,0.013282791,0.0
Numenius_arquata,1,48,48,0.98160434,-0.14067118,417.91287,-5.054611,0.013291511,0.0
Limosa_limosa,1,43,43,0.8493107,-0.6701173,417.9055,-6.4025044,0.013273706,0.0
Tachybaptus_ruficollis,1,68,68,0.9842324,-0.11480802,415.8699,-5.8820534,0.013307947,0.0
Numenius_arquata,1,48,48,0.98973584,-0.082810834,419.21854,-3.4385347,0.013295526,0.0
Cuculus_micropterus,1,26,26,0.9972596,-0.028044486,418.6585,-3.4179788,0.013303015,0.0
