species,n_recordings,total_duration_minutes,quality_A,quality_B,quality_C,quality_D,quality_E
Acridotheres_tristis,600,50.0,600,0,0,0,0
Acrocephalus_bistrigiceps,600,50.0,600,0,0,0,0
Acrocephalus_orientalis,600,50.0,600,0,0,0,0
Actitis_hypoleucos,600,50.0,600,0,0,0,0
Aegithina_tiphia,601,49.97024869732615,365,236,0,0,0
Alcedo_atthis,600,50.0,600,0,0,0,0
Amaurornis_phoenicurus,600,50.0,600,0,0,0,0
Ardea_alba,600,50.0,600,0,0,0,0
Ardea_cinerea,600,50.0,600,0,0,0,0
Ardea_purpurea,600,50.0,600,0,0,0,0
Arenaria_interpres,602,50.03062057823129,600,2,0,0,0
Butorides_striata,613,50.02418193499622,215,354,44,0,0
Cacomantis_merulinus,601,50.000428932823134,321,280,0,0,0
Calidris_alba,609,50.025614108560085,235,374,0,0,0
Calidris_canutus,602,49.98800354780801,430,172,0,0,0
Calidris_ferruginea,632,49.962596199452,125,272,156,66,13
Caprimulgus_macrurus,600,50.0,600,0,0,0,0
Cecropis_daurica,600,50.0,600,0,0,0,0
Centropus_sinensis,601,50.018825590513984,194,407,0,0,0
Charadrius_alexandrinus,600,50.0,600,0,0,0,0
Charadrius_dubius,600,50.0,600,0,0,0,0
Chlidonias_hybrida,600,50.0,600,0,0,0,0
Cinnyris_jugularis,600,50.0,600,0,0,0,0
Columba_livia,601,50.045213692838246,367,234,0,0,0
Corvus_macrorhynchos,600,50.0,600,0,0,0,0
Corvus_splendens,603,50.02305293131141,548,55,0,0,0
Cuculus_micropterus,601,49.97539611441799,301,300,0,0,0
Dicrurus_leucophaeus,601,49.97126641746977,259,342,0,0,0
Dicrurus_paradiseus,600,50.0,600,0,0,0,0
Egretta_garzetta,600,50.0,600,0,0,0,0
Elanus_caeruleus,600,50.0,600,0,0,0,0
Eudynamys_scolopaceus,600,50.0,600,0,0,0,0
Falco_peregrinus,600,50.0,600,0,0,0,0
Falco_tinnunculus,600,50.0,600,0,0,0,0
Gallinago_gallinago,600,50.0,600,0,0,0,0
Gallinula_chloropus,600,50.0,600,0,0,0,0
Gallus_gallus,600,50.0,600,0,0,0,0
Gelochelidon_nilotica,600,50.0,600,0,0,0,0
Halcyon_smyrnensis,602,50.015436802012466,264,338,0,0,0
Himantopus_himantopus,600,50.0,600,0,0,0,0
Hirundo_rustica,600,50.0,600,0,0,0,0
Hypothymis_azurea,601,50.022108137282686,367,234,0,0,0
Limosa_lapponica,607,49.97946669501134,445,162,0,0,0
Limosa_limosa,600,50.0,600,0,0,0,0
Mixornis_gularis,600,50.0,600,0,0,0,0
Motacilla_cinerea,600,50.0,600,0,0,0,0
Motacilla_tschutschensis,603,49.97337671130952,312,291,0,0,0
Ninox_scutulata,600,49.968419149187454,285,315,0,0,0
Numenius_arquata,600,50.0,600,0,0,0,0
Numenius_phaeopus,600,50.0,600,0,0,0,0
Nycticorax_nycticorax,600,50.0,600,0,0,0,0
Orthotomus_atrogularis,601,50.01586011196146,275,326,0,0,0
Orthotomus_sutorius,602,50.00700134400983,485,117,0,0,0
Pandion_haliaetus,601,49.998035378873766,514,87,0,0,0
Passer_montanus,600,50.0,600,0,0,0,0
Pelargopsis_capensis,600,49.992220833333334,600,0,0,0,0
Phylloscopus_borealis,600,50.0,600,0,0,0,0
Pluvialis_squatarola,600,50.0,600,0,0,0,0
Prinia_flaviventris,601,50.00432466695011,410,191,0,0,0
Psilopogon_haemacephalus,602,50.03659965986394,189,313,100,0,0
Psittacula_krameri,600,50.0,600,0,0,0,0
Pycnonotus_jocosus,601,49.99130741213152,474,127,0,0,0
Spatula_clypeata,603,50.038661857520786,181,422,0,0,0
Spatula_querquedula,604,50.0297901478647,509,95,0,0,0
Spilopelia_chinensis,602,50.027714347127734,484,118,0,0,0
Spilornis_cheela,601,49.99433493953136,406,195,0,0,0
Sterna_hirundo,600,50.0,600,0,0,0,0
Sternula_albifrons,600,50.0,600,0,0,0,0
Tachybaptus_ruficollis,600,50.0,600,0,0,0,0
Tringa_glareola,602,49.99676205829554,505,97,0,0,0
Tringa_nebularia,600,50.0,600,0,0,0,0
Tringa_ochropus,605,50.029607175925925,568,37,0,0,0
Tringa_totanus,600,50.0,600,0,0,0,0
Tyto_alba,600,50.0,600,0,0,0,0
Vanellus_indicus,600,50.0,600,0,0,0,0
Zapornia_pusilla,600,50.0,600,0,0,0,0
